,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
108,A Quantitative Systems Pharmacology Software Platform for Biologics: reduce costs and accelerate development of innovative biotherapeutics,NIGMS,9266447,5R44GM116214-02,USC Neurosurgery Research Education Training Program,12368310,"APGAR, JOSHUA ",Not Applicable,NINDS,2017,9726096,5R25NS099008-03,5,R25,NS,99008,3,,
109,A Quantitative Systems Pharmacology Software Platform for Biologics: reduce costs and accelerate development of innovative biotherapeutics,NIGMS,9138949,1R44GM116214-01A1,1,R44,GM,116214,1,A1,,12368310,"APGAR, JOSHUA ",Not Applicable,"APPLIED BIOMATH, LLC",,2016,469938,
110,Motor cortex network dynamics driving stroke recovery,NINDS,9762241,5K08NS109315-02,5,K08,NS,109315,2,,,10542994,"ARAC, AHMET ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2019,USC Neurosurgery Research Education Training Program,NINDS
111,181981,,,,,,,,,,,,,,,,,,
112,USC Neurosurgery Research Education Training Program,NINDS,9210135,1R25NS099008-01,1,R25,NS,99008,1,,,6380956,"MACK, WILLIAM J",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2017,87897,VISUOMOTOR COORDINATION:  NEURAL NETWORKS AND SCHEMAS
113,123969,,,,,,,,,,,,,,,,,,
114,Sequence Teacher: Behavioral Teaching Technology,NICHD,6698795,5R44HD042371-03,5,R44,HD,42371,3,,,8354691,"MACKAY, HARRY A.",Not Applicable,"PRAXIS, INC.",,2004,VISUOMOTOR COORDINATION:  NEURAL NETWORKS AND SCHEMAS,NINDS
115,Information Explorer: a Suite of Tools for Cross-study Genetic Loci Discovery,NHLBI,8733017,4UH3HL108780-03,4,UH3,HL,108780,3,,,9403973,"ARENS, YIGAL  ","LANGE, LESLIE A",UNIVERSITY OF SOUTHERN CALIFORNIA,,2013,500000,
116,Sequence Teacher: Behavioral Teaching Technology,NICHD,6697927,4R44HD042371-02,4,R44,HD,42371,2,,,8354691,"MACKAY, HARRY A.",Not Applicable,"PRAXIS, INC.",,2003,409931,Information Explorer: a Suite of Tools for Cross-study Genetic Loci Discovery
117,Information Explorer: a Suite of Tools for Cross-study Genetic Loci Discovery,NHLBI,8145063,1UH2HL108780-01,1,UH2,HL,108780,1,,,9403973,"ARENS, YIGAL  ","LANGE, LESLIE A",UNIVERSITY OF SOUTHERN CALIFORNIA,,2011,447457,
118,Sequence Teacher: Behavioral Teaching Technology,NICHD,Human and Machine Learning for Customized Control of Assistive Robots,1R44HD042371-01,1,R44,HD,42371,1,,,NIBIB,9773039,5R01EB024058-02,5,R01,EB,24058,2
119,A Platform for Safe; Noninvasive Prenatal Genetic Testing at Five Weeks of Pregnancy,NICHD,9940863,5R44HD092205-03,5,R44,HD,92205,3,,,1896792,"ARMANT, DAVID RANDALL ","GLIGORICH, KEITH MICHAEL","CRADLE GENOMICS, INC.",,2020,901625,
120,Computational Model of Autophagy-Mediated Survival in Chemoresistant Lung Cancer,NCI,9769647,5R01CA197398-05,5,R01,CA,197398,5,,,8751162,"MACKEIGAN, JEFFREY PAUL ","HLAVACEK, WILLIAM S",MICHIGAN STATE UNIVERSITY,,2019,456293,A Platform for Safe; Noninvasive Prenatal Genetic Testing at Five Weeks of Pregnancy
121,Improving cardiovascular image-based phenotyping using emerging methods in artificial intelligence,NHLBI,9867431,1R01HL150394-01,1,R01,HL,150394,1,,,10674706,"ARNAOUT, RIMA ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,2020,806128,
122,Seroepidemiologic methods to identify hotspots of trachoma and predict future infection,NIAID,9805550,1R03AI147128-01,1,R03,AI,147128,1,,,10962852,"ARNOLD, BENJAMIN F",Not Applicable,UNIVERSITY OF CALIFORNIA BERKELEY,,2019,1299,
123,156788,,,,,,,,,,,,,,,,,,
124,Computational Model of Autophagy-Mediated Survival in Chemoresistant Lung Cancer,NCI,9547104,7R01CA197398-03,7,R01,CA,197398,3,,,8751162,"MACKEIGAN, JEFFREY PAUL ","HLAVACEK, WILLIAM S",MICHIGAN STATE UNIVERSITY,,2017,484156,mHealth for Heart Failure: Predictive Models of Readmission Risk and Self-care Using Consumer Activity Trackers
125,A Machine Learning Approach to Classifying Time Since Stroke using Medical Imaging,NINDS,9687756,5R01NS100806-02,5,R01,NS,100806,2,,,10643210,"ARNOLD, COREY WELLS",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2019,450969,
126,Novel Biomarker to Identify Critical Windows of Susceptibility to Metal Mixture,NIEHS,9767585,5R01ES026033-04,5,R01,ES,26033,4,,,9782928,"ARORA, MANISH  ","WRIGHT, ROBERT O",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,608605,
127,Computational Model of Autophagy-Mediated Survival in Chemoresistant Lung Cancer,NCI,9139424,5R01CA197398-02,5,R01,CA,197398,2,,,8751162,"MACKEIGAN, JEFFREY PAUL ","HLAVACEK, WILLIAM S",VAN ANDEL RESEARCH INSTITUTE,,2016,515556,Developmental Core
128,Computational Model of Autophagy-Mediated Survival in Chemoresistant Lung Cancer,NCI,8945228,1R01CA197398-01,1,R01,CA,197398,1,,,8751162,"MACKEIGAN, JEFFREY PAUL ","HLAVACEK, WILLIAM S",VAN ANDEL RESEARCH INSTITUTE,,2015,538056,Novel Informatics Approaches for Ascertainment of PAD Status and Adverse Outcomes
129,ALGORITHMS FOR ARRHYTHMIA IDENTIFICATION,NHLBI,3349545,5R01HL035554-03,5,R01,HL,35554,3,,,9143702,"ARZBAECHER, ROBERT ",Not Applicable,ILLINOIS INSTITUTE OF TECHNOLOGY,,1988,150366,
130,ALGORITHMS FOR ARRHYTHMIA IDENTIFICATION,NHLBI,3349544,5R01HL035554-02,5,R01,HL,35554,2,,,9143702,"ARZBAECHER, ROBERT ",Not Applicable,ILLINOIS INSTITUTE OF TECHNOLOGY,,1987,165059,
131,2020,319720,ALGORITHMS FOR ARRHYTHMIA IDENTIFICATION,NHLBI,3349542,1R01HL035554-01,1,R01,HL,35554,1,,,9143702,"ARZBAECHER, ROBERT ",Not Applicable,ILLINOIS INSTITUTE OF TECHNOLOGY,,1986
132,"ASH, SAMUEL ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,2019,170320,,,,,,,,,,,,,
133,Modeling stress-induced; de novo epiallele architecture in the model Arabidopsis as a tractable entrypoint,NIGMS,9801992,1R01GM134056-01,1,R01,GM,134056,1,,,1891241,"MACKENZIE, SALLY A",Not Applicable,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,,2019,319720,Center for Undiagnosed Diseases at Stanford
134,THE PRIMARY OBJECTIVE OF THE PROPOSED PHASE I WORK IS TO FURTHER DEVELOP A PROOF-OF-CONCEPT (POC) MACHINE LEARNING APPROACH TO DETECT ILLEGAL OPIOID SELLERS AND DEVELOP IT INTO AN MVP THAT CAN COLLEC,NIDA,10044305,75N95019C00069-0-9999-1,,N43,DA,,,,,16188462,"MACKEY, KEN ",Not Applicable,"S-3 RESEARCH, LLC",,2019,224864,Self and Consciousness: Roots of Humanity?
135,Single Session Pain Catastrophizing Treatment: Comparative Efficacy & Mechanisms,NCCIH,9123530,5R01AT008561-02,5,R01,AT,8561,2,,,1950182,"MACKEY, SEAN C ","DARNALL, BETH DENISE",STANFORD UNIVERSITY,,2016,TEXTSKIMER:  A HANDHELD READER FOR THE VISUALLY IMPAIRED,NEI
136,277714,,,,,,,,,,,,,,,,,,
137,Single Session Pain Catastrophizing Treatment: Comparative Efficacy & Mechanisms,NCCIH,8965314,1R01AT008561-01A1,1,R01,AT,8561,1,A1,,1950182,"MACKEY, SEAN C ","DARNALL, BETH DENISE",STANFORD UNIVERSITY,,2015,630783,Osteoporosis in Hypercalciuric Kidney Stone Formers
138,Neuroimaging and Mentoring in Translational Pain Research,NIDA,9668110,5K24DA029262-10,5,K24,DA,29262,10,,,1950182,"MACKEY, SEAN C",Not Applicable,STANFORD UNIVERSITY,,2019,180628,Osteoporosis in Hypercalciuric Kidney Stone Formers
139,Neuroimaging and Mentoring in Translational Pain Research,NIDA,9442727,5K24DA029262-09,5,K24,DA,29262,9,,,1950182,"MACKEY, SEAN C",Not Applicable,STANFORD UNIVERSITY,,2018,OSTEOPOROSIS IN HYPERCALCURIC KIDNEY STONE FORMERS,NIDDK
140,Development of Multi-Compartment MR-Fingerprinting for Subvoxel Estimation of Quantitative Tissue Biomarkers,NIBIB,9825278,1R21EB027241-01A1,1,R21,EB,27241,1,A1,,14454041,"ASSLAENDER, JAKOB  ","KNOLL, FLORIAN ",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,,2019,209851,
141,Using Technology to Scale Up the Evaluation of Motivational Interviewing,NIAAA,9692448,5K02AA023814-05,5,K02,AA,23814,5,,,8908096,"ATKINS, DAVID CHARLES",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,131850,
142,180628,ICON-BASED COURSEWARE FOR ALCOHOLISM ASSESSMENT TRAINING,NIAAA,3487410,1R43AA009572-01A1,1,R43,AA,9572,1,A1,,1874736,"AVENT, R. RICHARD",Not Applicable,AMERICAN RESEARCH CORP OF VIRGINIA,,1993,50000
143,Neuroimaging and Mentoring in Translational Pain Research,NIDA,9033884,5K24DA029262-07,5,K24,DA,29262,7,,,1950182,"MACKEY, SEAN C",Not Applicable,STANFORD UNIVERSITY,,2016,180628,TECTONICS (Telemedicine Control Tower for the OR: Navigating Information; Care and Safety) trial
144,449829,,,,,,,,,,,,,,,,,,
145,Neuroimaging and Mentoring in Translational Pain Research,NIDA,8891683,2K24DA029262-06,2,K24,DA,29262,6,,,1950182,"MACKEY, SEAN C",Not Applicable,STANFORD UNIVERSITY,,2015,180628,Automated (AI) Analysis of Sleep Disordered Breathing
146,Automated (AI) Analysis of Sleep Disordered Breathing,NHLBI,6638164,5K25HL004420-03,5,K25,HL,4420,3,,,6380783,"AYAPPA, INDU A",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,,2003,147690,
147,Automated (AI) Analysis of Sleep Disordered Breathing,NHLBI,6536655,5K25HL004420-02,5,K25,HL,4420,2,,,6380783,"AYAPPA, INDU A",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,,2002,147690,
148,Neuroimaging and Mentoring in Translational Pain Research,NIDA,8628092,5K24DA029262-05,5,K24,DA,29262,5,,,1950182,"MACKEY, SEAN C",Not Applicable,STANFORD UNIVERSITY,,2014,202100,Automated (AI) Analysis of Sleep Disordered Breathing
149,AUTOMATED (AI) ANALYSIS OF SLEEP DISORDERED BREATHING,NCRR,7718390,5M01RR000096-47,5,M01,RR,96,47,,8497,6380783,"AYAPPA, INDU A",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,,2008,,1259
150,Automated Analysis of Sleep Disordered Breathing,NCRR,6974288,2M01RR000096-43,2,M01,RR,96,43,,933,6380783,"AYAPPA, INDU A",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,,2004,Neuroimaging and Mentoring in Translational Pain Research,NIDA
151,202100,NEURAL NETWORKS TO EVALUATE CORONARY ARTERY DISEASE RISK,NHLBI,2029573,1R03HL055150-01A2,1,R03,HL,55150,1,A2,,1961973,"AZEN, STANLEY P",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1996,40973
152,Function and circuitry of adaptive inhibition in the retina,NEI,9740980,2R01EY022933-06A1,2,R01,EY,22933,6,A1,,1906624,"BACCUS, STEPHEN A",Not Applicable,STANFORD UNIVERSITY,,2019,392194,
153,Neuroimaging and Mentoring in Translational Pain Research,NIDA,8249852,5K24DA029262-03,5,K24,DA,29262,3,,,1950182,"MACKEY, SEAN C",Not Applicable,STANFORD UNIVERSITY,,2012,202100,CERVICAL CANCER DETECTION AND SCREENING (PHASE II)
154,142591,,,,,,,,,,,,,,,,,,
155,Neuroimaging and Mentoring in Translational Pain Research,NIDA,8063206,5K24DA029262-02,5,K24,DA,29262,2,,,1950182,"MACKEY, SEAN C",Not Applicable,STANFORD UNIVERSITY,,2011,202100,QUANTITATION OF ESTROGEN RECEPTOR CONCENTRATION IN CELLS
156,QUANTITATION OF ESTROGEN RECEPTOR CONCENTRATION IN CELLS,NCI,3491511,1R43CA042700-01,1,R43,CA,42700,1,,7884255,1966504,"BACUS, JAMES W",Not Applicable,"CELL ANALYSIS SYSTEMS, INC.",,1950182,1986,"MACKEY, SEAN C"
157,Multigenic Dissection of Nonsyndromic Oral Clefts,NIDCR,7229521,5K08DE016956-02,5,K08,DE,16956,2,,,6687100,"BADOVINAC, RACHEL L",Not Applicable,HARVARD UNIVERSITY (MEDICAL SCHOOL),,2007,129498,
158,Multigenic Dissection of Nonsyndromic Oral Clefts,NIDCR,7102385,1K08DE016956-01A1,1,K08,DE,16956,1,A1,,6687100,"BADOVINAC, RACHEL L",Not Applicable,HARVARD UNIVERSITY,,2006,129511,
159,Radiologist-Centered Artificial Intelligence (RCAI) for Lung Cancer Screening and Diagnosis,NCI,9971649,1R01CA240639-01A1,1,R01,CA,240639,1,A1,,12578658,"BAGCI, ULAS ",Not Applicable,UNIVERSITY OF CENTRAL FLORIDA,,2020,Using Machine Learning to Detect and Characterize Synthetic Psychoactive Drug Digital Marketing and Distribution,NIDA
160,Cyst-X: Interpretable Deep Learning Based Risk Stratification of Pancreatic Cystic Tumors,NCI,9866770,1R01CA246704-01,1,R01,CA,246704,1,,,12578658,"BAGCI, ULAS ",Not Applicable,UNIVERSITY OF CENTRAL FLORIDA,,2020,510210,
161,Estimating Mediation Effects in Prevention Studies,NIDA,9851457,4R37DA009757-19,4,R37,DA,9757,19,,,1878167,"MACKINNON, DAVID P",Not Applicable,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,,2020,382893,Computational Systems Pharmacology Core
162,The Computational Pharmacology Core,NIDDK,9700926,2P01DK096990-06A1,2,P01,DK,96990,6,A1,7264,6906070,"BAHAR, IVET ",Not Applicable,WASHINGTON UNIVERSITY,,2019,,161250
163,MacMillan: Project 2; Technology and Research Development Project 2: FUSION (Macmillian),NCCIH,9736629,5U41AT008718-06,5,U41,AT,8718,6,,8282,8625816,"MACMILLAN, JOHN B",Not Applicable,UNIVERSITY OF CALIFORNIA SANTA CRUZ,,2019,,"91800""Molecular Modeling"""
164,EXPERT SYSTEM TO HELP IDENTIFY INCIPIENT STUTTERING,NICHD,3499708,1R43HD026209-01,1,R43,HD,26209,1,,,3736871,"BAHILL, A TERRY",Not Applicable,BAHILL INTELLIGENT COMPUTER SYSTEMS,,1989,48400,
165,MacMillan: Project 2; Technology and Research Development Project 2: FUSION (Macmillian),NCCIH,9516885,5U41AT008718-05,5,U41,AT,8718,5,,8282,8625816,"MACMILLAN, JOHN B",Not Applicable,UNIVERSITY OF CALIFORNIA SANTA CRUZ,,2018,,"408299""Development and Clinical Implementation of an Artificial Intelligence Tool to Predict Risk of Upgrade of Ductal Carcinoma In Situ"""
166,Development and Clinical Implementation of an Artificial Intelligence Tool to Predict Risk of Upgrade of Ductal Carcinoma In Situ,NCI,9806162,1K08CA241365-01,1,K08,CA,241365,1,,,12060893,"BAHL, MANISHA ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2019,259979,
167,MacMillan: Project 2; Technology and Research Development Project 2: FUSION (Macmillian),NCCIH,9305849,5U41AT008718-03,5,U41,AT,8718,3,,8282,8625816,"MACMILLAN, JOHN B",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER,,2017,,"422327""4 - Assessing the Overuse and Underuse of Diagnostic Testing"""
168,DEVELOPMENT OF NOVEL MULTI TIP; SCANNING BIO KELVIN PROBE,NCRR,6120174,5P41RR001395-17,5,P41,RR,1395,17,,7,6244612,"BAIKIE, I D",Not Applicable,MARINE BIOLOGICAL LABORATORY,,1999,,56185
169,Longitudinal and Intergenerational Determinants of Aging and Mortality,NIA,9691090,5R01AG057704-02,5,R01,AG,57704,2,,,9060711,"BAILEY, MARTHA JANE",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2019,308553,
170,MacMillan: Project 2; Technology and Research Development Project 2: FUSION (Macmillian),NCCIH,9134614,5U41AT008718-02,5,U41,AT,8718,2,,8282,8625816,"MACMILLAN, JOHN B",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER,,2016,,"422327""Precision immunoprofiling to reveal diagnostic biomarkers of latent TB infection"""
171,Development of statistical genetics methodology,NHGRI,10020054,1ZIAHG000153-21,1,ZIA,HG,153,21,,,1968506,"BAILEY-WILSON, JOAN E",Not Applicable,,,2019,394536,
172,DATA ANALYSIS METHODOLOGY,NINDS,4697157,2P50NS010939-13A1,2,P50,NS,10939,13,A1,24,3408120,"BAJCSY, RUZENA ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,1985,,
173,3-D COMPUTERIZED ATLAS OF HUMAN BRAIN,NINDS,3407379,5R01NS023636-03,5,R01,NS,23636,3,,,3775646,"BAJCSY, RUZENA ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,1988,165560,
174,3-D COMPUTERIZED ATLAS OF HUMAN BRAIN,NINDS,3407379,5R01NS023636-03,5,R01,NS,23636,3,,,3775646,"BAJCSY, RUZENA ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,1988,165560,MacMillan: Project 2; Technology and Research Development Project 2: FUSION (Macmillian)
175,3-D COMPUTERIZED ATLAS OF HUMAN BRAIN,NINDS,3407377,1R01NS023636-01,1,R01,NS,23636,1,,,3775646,"BAJCSY, RUZENA ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,1986,197323,
176,Extending PhonBank for Clinical Phonology and Speech Analysis,Reducing Benign Breast Biopsies with Computer Modeling,NCI,5,R01,HD,51698,13,,,2409067,"MACWHINNEY, BRIAN ",7072715,Not Applicable,5R01CA095061-04,CARNEGIE-MELLON UNIVERSITY,,5,R01
177,Reducing Benign Breast Biopsies with Computer Modeling,NCI,6926157,5R01CA095061-03,5,R01,CA,95061,3,,,7055670,"BAKER, JAY A",Not Applicable,DUKE UNIVERSITY,,2005,256025,
178,Reducing Benign Breast Biopsies with Computer Modeling,NCI,6752971,5R01CA095061-02,5,R01,CA,95061,2,,,7055670,"BAKER, JAY A",Not Applicable,DUKE UNIVERSITY,,2004,256025,
179,Reducing Benign Breast Biopsies with Computer Modeling,NCI,6752971,5R01CA095061-02,5,R01,CA,95061,2,,,7055670,"BAKER, JAY A",Not Applicable,DUKE UNIVERSITY,,2004,256025,Extending PhonBank for Clinical Phonology and Speech Analysis
180,Extending PhonBank for Clinical Phonology and Speech Analysis,NICHD,9234982,2R01HD051698-11,2,R01,HD,51698,11,,,2409067,"MACWHINNEY, BRIAN ",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2017,Molecular images and machine learning to extract placental function from maternal cfDNA,NICHD
181,Stanford Health Services Research Training Program,AHRQ,9963180,5T32HS026128-03,5,T32,HS,26128,3,,,7348945,"BAKER, LAURENCE C ","OWENS, DOUGLAS K",STANFORD UNIVERSITY,,2020,489467,
182,IMAGE ANALYSIS OF STAINED AND UNSTAINED MACROMOLECULES,NIGMS,3282400,5R01GM033050-08,5,R01,GM,33050,8,,,1863325,"BAKER, TIMOTHY S",Not Applicable,PURDUE UNIVERSITY WEST LAFAYETTE,,1990,128622,
183,270581,IMAGE ANALYSIS OF STAINED AND UNSTAINED MACROMOLECULES,NIGMS,3282399,5R01GM033050-07,5,R01,GM,33050,7,,,1863325,"BAKER, TIMOTHY S",Not Applicable,PURDUE UNIVERSITY WEST LAFAYETTE,,1989,125518
184,IMAGE ANALYSIS OF STAINED AND UNSTAINED MACROMOLECULES,NIGMS,3282398,5R01GM033050-06,5,R01,GM,33050,6,,,1863325,"BAKER, TIMOTHY S",Not Applicable,PURDUE UNIVERSITY WEST LAFAYETTE,,1988,120719,
185,IMAGE ANALYSIS OF STAINED AND UNSTAINED MACROMOLECULES,NIGMS,3282397,5R01GM033050-05,5,R01,GM,33050,5,,,1863325,"BAKER, TIMOTHY S",Not Applicable,PURDUE UNIVERSITY WEST LAFAYETTE,,1987,A Shared Database for the Study of Phonological Development,NICHD
186,IMAGE ANALYSIS OF STAINED AND UNSTAINED MACROMOLECULES,NIGMS,3282393,2R01GM033050-04,2,R01,GM,33050,4,,,1863325,"BAKER, TIMOTHY S",Not Applicable,PURDUE UNIVERSITY WEST LAFAYETTE,,1986,121658,
187,ELECTRON MICROSCOPY AND IMAGE ANALYSIS OF POLYOMA VIRUS,NIGMS,3282396,5R01GM033050-03,5,R01,GM,33050,3,,,1863325,"BAKER, TIMOTHY S",Not Applicable,PURDUE UNIVERSITY WEST LAFAYETTE,,1985,70396,
188,A Shared Database for the Study of Phonological Development,NICHD,8601309,5R01HD051698-08,5,R01,HD,51698,8,,,2409067,"MACWHINNEY, BRIAN ",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2014,INDIVIDUALIZED FEEDBACK TO IMPLEMENT CLINICAL GUIDELINES,AHRQ
189,PREDICTIVE TOOLS FOR DNA STRUCTURE AND REGULATORY SITES,NIGMS,2793647,1R43GM059002-01,1,R43,GM,59002,1,,,6885163,"BALDI, PIERRE ",Not Applicable,"NET-ID, INC.",,1999,95795,
190,265030,Bioinformatics Tools for Circadian Biology,NIGMS,9690782,5R01GM123558-03,5,R01,GM,123558,3,,,6885163,"BALDI, PIERRE ",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE,,2019,328155
191,A systems analysis of drug tolerance in Mycobacterium tuberculosis,NIAID,9594144,5R01AI128215-03,5,R01,AI,128215,3,,,8206939,"BALIGA, NITIN S",Not Applicable,INSTITUTE FOR SYSTEMS BIOLOGY,,2019,902060,
192,292839,Functional MRI Core Facility,NIMH,10015097,1ZICMH002884-13,1,ZIC,MH,2884,13,,,9416723,"BANDETTINI, PETER ",Not Applicable,NATIONAL INSTITUTE OF MENTAL HEALTH,,2019,3554064
193,Applying Machine Learning in the Prediction and Identification of Children Affected by Prenatal Alcohol Exposure,NIAAA,9805491,1K01AA027811-01,1,K01,AA,27811,1,,,14273888,"BANDOLI, GRETCHEN E",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2019,A Shared Database for the Study of Phonological Development,NICHD
194,Bayesian learning algorithms for identifying and classifying heterogeneity of cell types in variety of solid tumors,NCI,9771401,5R21CA231892-02,5,R21,CA,231892,2,,,14074448,"BANERJEE, ANJISHNU ",Not Applicable,MEDICAL COLLEGE OF WISCONSIN,,2019,194940,
195,NEURO-IMAGING EXPERT SYSTEM,NLM,3373691,5R01LM004431-03,5,R01,LM,4431,3,,,3769731,"BANKS, GORDON ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1987,190171,
196,A Shared Database for the Study of Phonological Development,NICHD,7624332,5R01HD051698-04,5,R01,HD,51698,4,,,2409067,"MACWHINNEY, BRIAN ",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2009,227115,NEURO-IMAGING EXPERT SYSTEM
197,NEURO-IMAGING EXPERT SYSTEM,NLM,3373688,1R01LM004431-01,1,R01,LM,4431,1,,,3769731,"BANKS, GORDON ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1985,211828,
198,Neural signatures of learning complex environments in the amygdala-prefrontal network,NIDA,9754494,1K99DA048748-01,1,K99,DA,48748,1,,,12025146,"BARACK, DAVID ",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES,,2019,A Shared Database for the Study of Phonological Development,NICHD
199,A Shared Database for the Study of Phonological Development,NICHD,7265230,5R01HD051698-02,5,R01,HD,51698,2,,,2409067,"MACWHINNEY, BRIAN ",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2007,234683,Intelligent Virtual Reality Curriculum for Personalized Surgical Training
200,A ROTATING SLIT SCANNING UNIT FOR DIGITAL RADIOGRAPHY,NCI,3174442,5R01CA036859-02,5,R01,CA,36859,2,,,3738926,"BARBARIC, ZORAN L",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,1985,Developing Database and Software infrastructure for Quantitative Radiologic Analysis of Lumbar Radiculopathy,NIBIB
201,UNIFIED MEDICAL LANGUAGE SYSTEM RESEARCH & DEVELOPMENT,NLM,2319084,N01LM013538-005,,N01,LM,,,,,2016752,"BARNETT, G O",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,1994,162881,
202,Developing Database and Software infrastructure for Quantitative Radiologic Analysis of Lumbar Radiculopathy,NIBIB,9746373,1R21EB026665-01A1,1,R21,EB,26665,1,A1,,11622573,"MACYSZYN, LUKE ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2019,234000,UNIFIED MEDICAL LANGUAGE SYSTEM R&D SUPPORT
203,UNIFIED MEDICAL LANGUAGE SYSTEM R&D SUPPORT,NLM,2319081,N01LM013538-002,,N01,LM,,,,,2016752,"BARNETT, G O",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,1992,161073,
204,UNIFIED MEDICAL LANGUAGE SYSTEM R&D SUPPORT,NLM,2319079,N01LM013538-000,,N01,LM,,,,,2016752,"BARNETT, G O",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,1991,241338,
205,PROBLEM-BASED KNOWLEDGE ACCESS,NLM,3374269,5R01LM005200-04,5,R01,LM,5200,4,,,1955072,"BARNETT, GUY OCTO",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,1993,416638,
206,,,,,PROBLEM-BASED KNOWLEDGE ACCESS,NLM,3374268,5R01LM005200-03,5,R01,LM,5200,3,,,1955072,"BARNETT, GUY OCTO",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL
207,PROBLEM-BASED KNOWLEDGE ACCESS,NLM,3374267,5R01LM005200-02,5,R01,LM,5200,2,,,1955072,"BARNETT, GUY OCTO",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,1991,412051,
